Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
5,5,4,6.9225,9.7675,Porites_porites,grow,n/s
6,6,5,8.35,9.3025,Porites_porites,grow,n/s
7,7,6,16.155,17.885,Orbicella_annularis,grow,n/s
9,9,8,10.1575,11.2575,Porites_porites,grow,n/s
13,13,11,9.4675,10.745,Porites_porites,grow,n/s
14,14,13,9.8475,11.085,Porites_porites,grow,n/s
15,15,14,9.27,10.045,Porites_porites,grow,n/s
18,18,17,12.2975,14.57,Orbicella_annularis,grow,n/s
0,0,20,10.4225,10.0425,Porites_porites,same,n/s
2,2,1,13.065,13.1675,Orbicella_annularis,same,n/s
3,3,2,11.8425,12.1575,Porites_porites,same,n/s
4,4,3,11.145,11.0675,Porites_porites,same,n/s
10,10,9,23.17,23.1125,Orbicella_annularis,same,n/s
16,16,15,17.4,17.7775,Orbicella_annularis,same,n/s
17,17,16,16.3725,16.89,Orbicella_annularis,same,n/s
1,1,0,11.2575,10.2225,Porites_porites,shrink,n/s
8,8,7,10.4875,8.7775,Porites_porites,shrink,n/s
11,11,10,13.2075,11.29,Orbicella_annularis,shrink,n/s
12,12,12,10.5575,9.5075,Porites_porites,shrink,n/s
19,19,18,11.4075,10.67,Orbicella_annularis,shrink,n/s
20,20,19,21.12,20.0225,Orbicella_annularis,shrink,n/s
